Age,Attendance_Percentage,Sleep_Hours,Stress_Level,Academic_Score,Family_Support_Score,Monthly_Expense,Screen_Time_Hours,Experimentation,Academic_Performance_Decline,Social_Isolation,Financial_Issues,Physical_Mental_Health_Problems,Legal_Consequences,Relationship_Strain,Risk_Taking_Behavior,Withdrawal_Symptoms,Denial_and_Resistance_to_Treatment,Addiction_Class
18,71.6,7.4,8,81.2,1.0,13994,5.1,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes
21,45.5,6.5,10,37.3,1.0,10237,7.2,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes
23,62.2,5.0,8,55.4,10.0,17413,7.6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
26,61.1,5.1,3,61.3,5.0,18820,3.1,No,Yes,No,No,No,No,Yes,No,No,Yes,No
23,80.8,5.9,3,75.8,1.0,17403,6.9,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
17,66.0,6.8,4,52.7,7.0,20368,7.8,No,Yes,No,No,No,Yes,No,No,No,No,No
20,62.1,6.3,6,69.1,8.0,11100,3.0,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No
19,56.8,8.9,8,67.2,8.0,12345,7.7,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
23,76.7,6.2,2,64.4,5.0,2202,3.1,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
20,98.8,7.5,3,78.9,1.0,19017,3.4,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
26,75.3,6.0,4,69.1,5.0,14145,7.8,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
19,55.7,4.7,10,77.4,6.0,19711,7.6,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes
22,64.5,,9,47.1,4.0,6449,4.0,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
26,59.1,7.2,3,46.6,5.0,12968,9.3,No,No,No,Yes,Yes,No,No,Yes,No,No,No
17,66.2,5.8,5,79.0,1.0,4964,2.6,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
20,60.1,7.2,3,73.8,9.0,7833,4.0,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes
27,70.1,5.2,10,73.9,3.0,14456,2.4,No,Yes,Yes,No,No,No,No,No,No,No,Yes
25,74.3,7.4,10,66.4,8.0,14091,5.9,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
23,64.6,8.2,4,78.7,7.0,4277,4.1,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
23,74.0,6.4,7,60.4,2.0,16755,9.8,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
28,66.4,6.5,7,64.4,10.0,2657,4.5,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
19,59.8,7.0,2,46.7,1.0,18318,4.7,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
17,68.0,4.6,2,58.1,9.0,8424,6.4,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
24,72.8,5.3,6,51.7,6.0,14794,8.1,No,No,,Yes,No,Yes,No,Yes,Yes,No,Yes
22,70.1,,8,54.0,9.0,12436,3.1,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
22,66.5,5.5,2,46.4,6.0,10846,5.5,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
20,80.3,7.4,2,66.9,6.0,18701,5.1,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No
21,62.4,6.8,5,54.7,6.0,8631,6.1,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
25,54.8,9.9,4,73.8,4.0,4007,8.9,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No
26,74.1,7.1,9,63.9,9.0,12355,6.6,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes
17,95.3,5.7,8,53.3,7.0,17526,4.2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
18,89.5,8.7,3,55.4,3.0,16066,8.8,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
22,62.4,5.3,2,64.9,10.0,21455,7.4,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
24,75.5,7.0,4,66.6,3.0,15728,3.5,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
25,45.2,6.0,8,,2.0,14134,6.0,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
19,92.0,7.3,2,73.8,8.0,7294,6.9,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No
26,72.1,6.8,1,78.2,7.0,18710,8.9,No,No,Yes,No,Yes,No,Yes,No,No,No,No
21,62.5,,9,,6.0,21164,5.4,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
20,80.9,6.1,10,48.6,8.0,4875,3.6,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
26,62.5,5.7,6,71.5,8.0,16655,6.8,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No
19,87.9,8.9,3,64.2,1.0,20626,7.8,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
17,66.1,5.4,7,39.6,10.0,8645,6.8,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
26,79.3,5.2,9,54.5,7.0,14806,5.5,No,No,No,No,Yes,No,Yes,No,No,No,No
28,41.3,4.8,5,51.3,1.0,18124,2.5,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
28,69.1,7.0,2,66.3,9.0,21939,8.3,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No
27,77.7,7.6,5,70.7,1.0,18792,5.1,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
18,90.5,,8,77.8,7.0,16986,10.6,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
21,,5.3,1,61.0,9.0,18559,2.5,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
22,88.2,7.5,6,52.8,6.0,15764,5.3,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
22,85.9,6.6,4,77.0,4.0,11440,7.5,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No
25,77.5,3.6,9,76.9,5.0,5871,5.7,No,No,Yes,,No,Yes,Yes,No,Yes,Yes,No
24,54.0,7.6,6,49.0,1.0,8311,6.4,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
18,55.0,4.3,3,57.7,1.0,20230,6.7,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
22,66.9,5.5,5,49.8,9.0,15215,7.1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No
20,88.1,6.1,1,57.8,9.0,20634,8.1,No,No,No,No,No,No,No,No,No,No,No
21,85.8,7.9,2,71.3,3.0,9580,4.3,Yes,No,No,No,Yes,No,No,Yes,No,No,No
23,74.2,6.8,5,48.2,5.0,7567,6.4,No,No,No,Yes,No,No,Yes,No,Yes,No,No
25,63.6,8.4,8,59.9,8.0,21136,10.5,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,Yes
22,66.9,6.0,3,75.0,,18311,2.4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
26,87.0,6.4,5,67.5,6.0,13011,5.7,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
18,76.7,7.3,5,48.9,4.0,3483,6.0,No,No,No,No,No,No,Yes,Yes,Yes,No,No
19,77.1,7.1,10,83.8,1.0,17198,5.8,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
20,60.8,7.4,5,63.6,4.0,20998,9.2,No,No,No,No,Yes,No,No,Yes,No,No,No
22,80.2,7.3,7,63.6,6.0,9581,3.7,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
26,61.1,3.3,1,79.2,5.0,11282,5.1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
27,45.1,7.2,2,74.1,8.0,4365,6.6,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
20,59.8,6.8,6,63.7,7.0,17938,5.4,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
18,74.4,5.3,7,59.7,3.0,10944,6.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
25,95.8,6.1,9,54.1,10.0,7392,3.9,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes
21,70.7,6.9,2,51.5,6.0,15596,5.2,No,Yes,No,No,No,Yes,No,Yes,No,No,No
27,70.0,6.2,9,55.7,2.0,20303,6.6,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
27,71.1,5.9,6,43.3,3.0,20903,4.5,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
24,77.3,6.3,9,37.4,10.0,4529,5.6,No,Yes,No,,Yes,No,Yes,No,No,No,No
23,77.4,8.8,4,85.5,8.0,20699,7.3,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
21,69.7,5.6,5,75.6,6.0,10297,2.2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
28,51.4,7.5,1,33.9,9.0,12222,5.4,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No
26,80.1,4.9,8,73.7,1.0,12326,7.2,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes
25,50.4,8.3,10,85.1,6.0,3175,1.0,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
17,68.6,5.4,6,61.4,1.0,14192,6.4,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
20,60.5,,9,78.7,1.0,14382,7.8,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
18,50.2,5.6,8,28.8,10.0,8694,6.5,No,No,Yes,Yes,Yes,No,No,No,No,No,No
22,65.2,6.1,3,67.2,7.0,9454,5.4,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
25,42.0,7.3,7,68.6,2.0,10857,5.1,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
23,76.6,5.3,7,79.0,5.0,13882,5.1,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No
25,67.8,4.4,10,88.3,,6577,5.1,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
22,86.0,6.2,4,60.3,5.0,6975,7.8,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
21,71.4,6.5,10,83.4,4.0,11561,5.2,Yes,Yes,,No,No,No,No,Yes,Yes,No,Yes
20,90.4,5.5,7,51.5,2.0,11257,4.7,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No
27,93.2,7.4,8,58.1,6.0,5805,10.1,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
26,74.3,5.5,2,56.3,7.0,12040,7.4,Yes,No,No,,Yes,Yes,No,No,No,No,Yes
18,79.5,7.5,8,58.3,8.0,12216,3.4,Yes,No,Yes,No,No,Yes,No,No,No,No,No
17,52.2,7.8,8,87.6,5.0,17475,5.1,No,No,No,Yes,No,Yes,No,No,No,Yes,No
22,58.0,7.2,2,76.2,4.0,5029,8.7,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
22,67.3,7.6,8,75.5,5.0,21681,5.6,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
27,59.5,6.4,10,84.6,8.0,21910,6.9,No,No,No,No,No,No,Yes,Yes,No,Yes,No
21,83.0,6.1,3,82.4,1.0,16734,4.6,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No
18,77.4,7.0,9,75.9,9.0,20043,2.5,Yes,No,,No,Yes,No,Yes,Yes,No,No,No
26,75.1,6.2,7,99.2,1.0,20376,3.9,No,Yes,No,Yes,No,No,No,No,No,No,Yes
19,65.3,4.7,8,25.4,3.0,8953,5.9,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
17,92.8,5.8,7,75.3,2.0,19095,6.3,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
17,85.9,6.6,7,86.2,8.0,18961,8.9,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
19,67.1,7.9,2,42.3,10.0,21767,5.2,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No
27,65.7,6.4,1,79.0,7.0,15306,4.1,Yes,Yes,,Yes,Yes,No,Yes,No,No,Yes,No
20,59.1,7.6,2,79.0,2.0,2888,4.7,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
23,69.6,6.1,4,56.0,5.0,19975,6.9,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
25,,7.2,3,50.4,2.0,2878,1.4,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
24,56.6,5.5,6,83.2,4.0,10208,5.4,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
18,59.7,6.7,7,68.7,1.0,9750,6.3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
19,100.0,8.9,1,69.6,,15832,8.9,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
19,59.5,3.0,8,66.5,8.0,14984,5.9,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
24,65.5,6.1,9,94.7,8.0,10386,6.3,Yes,No,No,,Yes,No,Yes,No,No,Yes,Yes
24,74.4,8.0,2,71.0,8.0,11186,8.3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
22,71.1,5.0,7,57.3,1.0,20305,5.4,Yes,No,Yes,,No,Yes,Yes,Yes,Yes,No,Yes
17,45.9,4.7,3,71.6,7.0,14114,4.0,No,No,No,Yes,Yes,No,Yes,No,No,No,No
21,51.6,7.7,9,62.3,5.0,18949,6.6,No,No,Yes,Yes,No,No,No,No,No,No,No
27,87.0,5.9,8,68.2,1.0,12099,3.7,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes
20,,8.0,1,77.0,7.0,14284,6.9,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No
24,46.2,7.0,10,69.2,6.0,4774,3.7,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
28,65.9,7.8,2,75.7,10.0,18670,6.0,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
27,72.6,5.1,6,74.8,6.0,12252,6.3,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
19,45.7,5.9,9,52.3,6.0,5693,2.4,No,Yes,No,,Yes,No,No,No,Yes,No,No
24,97.5,8.4,3,79.5,4.0,7955,7.7,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No
21,47.6,5.0,1,40.8,3.0,13818,5.7,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
26,62.1,7.1,9,72.7,1.0,19870,9.8,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
20,62.5,5.0,8,66.7,7.0,18838,3.8,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
21,,8.4,1,66.4,1.0,4127,6.9,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
17,75.5,6.1,2,43.6,1.0,21104,2.6,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
21,76.1,5.2,8,84.2,2.0,7498,6.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
19,68.3,5.8,10,78.1,10.0,9331,1.0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
23,79.0,8.2,9,52.6,2.0,7276,5.3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
22,,5.9,2,48.8,9.0,15024,3.7,No,No,No,Yes,No,Yes,Yes,No,No,No,No
19,66.5,7.0,1,59.2,9.0,2706,5.7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
21,83.1,6.9,5,59.7,6.0,7447,5.9,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
21,58.9,5.2,2,58.9,9.0,21283,9.6,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
23,82.6,6.2,1,60.8,5.0,2939,7.4,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
24,94.1,5.8,6,63.0,2.0,6137,10.4,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
27,81.7,7.5,2,69.1,2.0,6815,7.1,Yes,No,No,No,No,No,No,No,No,No,No
19,59.1,6.4,8,88.7,1.0,6221,7.4,No,No,No,Yes,Yes,No,No,No,No,Yes,No
28,83.6,6.6,2,62.5,10.0,8076,1.5,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
19,64.5,4.9,5,89.8,10.0,9366,8.5,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
19,62.2,5.2,3,38.4,3.0,11838,5.0,No,No,No,Yes,No,No,Yes,Yes,No,No,No
27,61.4,7.0,5,61.1,5.0,21596,3.6,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
28,80.3,6.6,1,66.4,1.0,3898,6.7,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
22,61.4,,10,60.5,10.0,5670,1.0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
23,64.8,4.1,1,77.2,6.0,11153,6.8,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
20,84.3,8.1,7,63.7,4.0,10597,3.8,No,No,,No,Yes,Yes,No,Yes,No,Yes,No
27,67.9,4.1,7,63.3,4.0,12683,10.0,No,No,No,No,No,No,No,No,Yes,Yes,Yes
22,70.5,6.8,9,55.6,9.0,13901,7.4,No,Yes,,No,No,No,Yes,No,Yes,No,Yes
24,81.4,4.1,10,65.8,5.0,6909,6.2,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
18,77.7,6.6,7,77.3,,6978,5.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
22,55.9,6.2,10,94.5,10.0,17595,3.5,No,No,Yes,No,No,No,Yes,No,No,No,No
26,56.1,6.1,7,70.3,7.0,21170,5.7,No,Yes,No,No,Yes,No,No,No,No,Yes,No
20,78.1,6.1,10,71.7,6.0,7712,5.2,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No
25,64.6,6.3,3,83.6,9.0,17803,4.8,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
24,84.0,6.6,2,66.0,6.0,14803,6.9,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
27,96.6,7.3,4,80.2,6.0,2784,3.9,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
21,75.2,7.3,2,94.9,1.0,6580,4.9,No,Yes,Yes,No,No,No,Yes,No,No,No,No
21,69.5,6.6,5,67.6,2.0,15830,4.7,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
19,69.2,6.7,3,63.2,6.0,3472,8.3,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
20,69.5,7.0,3,92.9,5.0,6257,8.1,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
23,84.2,6.7,6,59.8,5.0,9349,10.1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
28,68.9,8.7,8,68.6,6.0,5002,7.7,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
26,46.4,6.3,1,70.9,9.0,11016,5.9,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
27,85.1,5.4,6,84.0,3.0,2397,2.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
26,76.0,8.4,5,84.0,5.0,15987,4.0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No
18,60.6,7.3,4,49.1,10.0,9646,3.5,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
20,69.7,4.5,6,51.9,7.0,2269,4.5,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
21,79.3,5.8,3,77.8,5.0,17437,7.3,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
18,77.1,6.0,2,48.4,1.0,8011,8.2,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
23,70.7,7.0,5,70.9,6.0,9172,3.1,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
25,79.5,5.6,8,67.4,7.0,20950,1.4,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No
24,69.8,5.6,3,73.9,1.0,15661,4.6,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
20,52.0,7.0,9,66.0,4.0,12869,3.6,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
22,77.9,7.2,10,55.4,4.0,16169,3.1,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
28,82.7,6.5,6,50.1,1.0,6507,7.4,No,No,No,No,No,Yes,No,No,No,No,No
19,70.2,5.4,1,97.5,2.0,19575,8.4,No,No,No,No,Yes,No,No,No,No,Yes,No
27,71.4,7.8,6,62.4,7.0,19166,5.7,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
17,77.6,7.7,4,65.0,7.0,12725,8.0,No,No,No,No,No,No,No,No,No,Yes,No
20,91.7,6.5,7,73.3,4.0,21413,6.0,No,No,No,No,Yes,No,Yes,No,Yes,No,No
21,64.0,5.4,9,79.2,7.0,9502,5.6,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
25,58.5,9.0,3,52.4,5.0,4111,5.9,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No
24,94.4,7.9,9,52.9,9.0,11184,2.3,No,No,No,Yes,Yes,Yes,No,No,No,No,No
27,57.0,5.5,6,54.4,1.0,4744,5.7,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
20,82.7,5.6,5,53.5,6.0,17236,3.2,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
22,66.4,6.5,1,65.4,4.0,3549,6.3,No,No,No,Yes,Yes,No,Yes,No,No,No,No
25,64.2,5.3,7,83.4,4.0,15379,7.3,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
17,73.8,5.4,10,72.4,9.0,14256,8.6,No,Yes,No,,Yes,No,No,No,No,Yes,Yes
26,90.6,7.1,9,55.4,1.0,4368,7.5,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
24,58.4,5.0,7,66.8,10.0,21376,5.6,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
22,65.1,6.5,10,77.8,1.0,15535,6.4,Yes,No,No,,No,Yes,No,No,No,No,Yes
18,57.6,6.5,5,59.9,,10303,4.0,No,No,No,No,No,No,No,No,No,Yes,No
22,73.4,5.4,9,63.9,3.0,8583,4.6,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
18,77.0,6.8,2,73.0,9.0,10923,5.4,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
25,75.5,5.7,10,56.5,5.0,6505,6.7,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes
27,64.9,6.5,9,,3.0,16948,5.1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
26,82.9,8.1,5,52.4,8.0,7109,3.3,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
22,69.5,7.0,3,77.8,4.0,2479,5.2,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No
23,70.8,7.0,5,68.1,2.0,5169,6.1,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
17,88.8,8.3,10,64.1,5.0,15307,5.8,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
23,92.7,6.4,4,65.6,1.0,4035,6.6,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No
18,52.4,6.7,4,65.7,10.0,12265,4.3,No,No,Yes,No,No,No,No,Yes,No,Yes,No
19,82.0,6.7,8,75.2,10.0,6298,7.6,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
26,100.0,5.9,6,50.3,3.0,7940,3.0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No
24,49.6,6.2,6,55.1,10.0,4285,5.6,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
26,70.7,6.8,7,76.8,8.0,12186,6.5,Yes,Yes,,Yes,No,No,No,Yes,Yes,Yes,Yes
23,61.8,6.9,7,77.6,2.0,16939,4.1,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No
19,65.2,5.9,5,75.9,3.0,17876,7.3,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes
19,67.9,6.0,4,82.1,4.0,2139,7.5,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
22,59.3,4.4,4,54.9,6.0,5204,5.2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
18,78.1,4.2,10,66.7,4.0,21389,7.7,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes
26,73.9,6.7,1,86.9,1.0,20776,5.2,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
19,87.5,4.4,7,75.3,5.0,5732,7.9,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
17,59.7,6.1,4,51.9,8.0,20582,5.1,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
19,72.1,6.0,6,68.9,4.0,8235,9.0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
18,61.2,7.0,5,69.4,3.0,8074,3.8,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No
24,68.4,5.6,7,59.2,5.0,8030,6.6,No,Yes,Yes,No,No,No,No,No,No,No,No
28,79.2,6.7,8,,6.0,9743,6.6,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
19,87.1,4.4,2,67.2,7.0,14725,1.2,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No
19,71.0,7.5,1,76.8,6.0,7371,4.1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
26,72.4,5.2,2,82.2,8.0,10398,8.3,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No
24,77.8,8.5,4,64.7,7.0,8753,3.2,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No
25,55.1,7.3,10,55.2,5.0,16294,9.3,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
21,80.5,5.8,1,50.4,5.0,18069,9.3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No
20,71.3,6.2,5,53.6,9.0,12590,4.6,No,Yes,Yes,No,No,No,Yes,No,No,No,No
19,83.0,7.5,10,61.9,2.0,10154,5.7,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
28,72.0,6.2,10,65.8,9.0,19234,4.5,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
25,75.8,8.6,10,57.6,3.0,12467,2.3,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
19,65.6,8.2,8,59.5,3.0,17026,6.6,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
18,,5.2,2,53.7,5.0,4064,4.1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28,55.1,6.9,2,29.6,7.0,8030,4.8,No,No,No,No,Yes,No,Yes,No,Yes,No,No
18,71.2,8.0,10,50.1,,5870,5.9,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
18,53.4,4.1,4,82.9,6.0,19641,7.2,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
19,84.3,5.3,8,75.5,9.0,19137,2.8,No,Yes,Yes,,No,No,Yes,No,No,No,No
24,66.7,5.6,7,67.4,2.0,14908,6.5,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
